geocode,lat,long,drop_4balance
1700251,-9.4804141,-49.309888,0
1700301,-6.4876523,-47.513386,0
1700350,-11.332169,-48.908194,0
1700400,-11.430057,-47.21041,0
1700707,-12.408493,-49.112914,0
1701002,-6.2555316,-48.023998,0
1701051,-6.4204684,-47.901257,0
1701101,-9.9878923,-48.000685,0
1701309,-7.1020524,-48.519112,0
1701903,-8.9400565,-49.504683,0
1702000,-12.841147,-49.696348,0
1702109,-7.3379216,-48.302183,0
1702158,-6.9196243,-48.403334,0
1702208,-5.740486,-48.001225,0
1702406,-12.81866,-47.04786,0
1702554,-5.4981796,-47.929068,0
1702703,-12.642368,-46.418694,0
1702901,-5.6456446,-47.766383,0
1703008,-7.1748585,-47.855767,0
1703057,-7.7777228,-48.601423,0
1703073,-7.7173953,-47.578546,0
1703107,-9.8689816,-48.791669,0
1703305,-9.012759,-47.879216,0
1703602,-8.2865474,-48.420252,0
1703701,-11.029413,-48.625075,0
1703800,-5.3387335,-48.104384,0
1703826,-6.0904451,-47.841499,0
1703842,-8.2034929,-46.80441,0
1703867,-11.933947,-49.203199,0
1703883,-7.0402523,-48.380832,0
1703891,-5.3364784,-48.010688,0
1703909,-9.4004072,-49.848113,0
1704105,-9.0740485,-47.444986,0
1704600,-10.165678,-49.196355,0
1705102,-11.541775,-47.846161,0
1705508,-8.0506021,-48.504834,0
1705557,-12.84653,-46.503685,0
1705607,-12.169341,-47.303484,0
1706001,-8.4696576,-49.184049,0
1706100,-10.637097,-49.31316,0
1706258,-11.172635,-49.073923,0
1706506,-6.7734468,-47.74946,0
1707009,-11.700228,-46.808934,0
1707108,-9.6948456,-49.354832,0
1707207,-9.2725378,-49.070188,0
1707306,-11.428519,-49.390747,0
1707553,-10.809468,-48.874541,0
1707652,-12.264272,-49.283119,0
1707702,-7.4968452,-47.79386,0
1708205,-11.958999,-50.098113,0
1708254,-9.0743245,-48.501576,0
1708304,-8.8583143,-49.028531,0
1709005,-8.0937717,-47.481186,0
1709302,-8.7168792,-48.351787,0
1709500,-11.65206,-48.886641,0
1709807,-11.136175,-48.404196,0
1710508,-8.5712598,-47.669023,0
1710706,-5.8037582,-47.596597,0
1710904,-8.3164817,-48.033026,0
1711506,-12.748159,-48.645919,0
1711803,-8.2270776,-49.17316,0
1711902,-11.036066,-50.160444,0
1711951,-10.342014,-47.481602,0
1712009,-9.8485151,-48.290079,0
1712157,-12.820308,-46.394839,0
1712405,-9.5253595,-46.938856,0
1712454,-6.206364,-47.830448,0
1712504,-9.7876427,-49.699889,0
1712702,-10.576166,-46.501214,0
1712801,-6.0242718,-47.589751,0
1713205,-9.7540268,-48.551379,0
1713304,-9.4268358,-48.681293,0
1713601,-10.748399,-48.017263,0
1713700,-10.000652,-49.067033,0
1713809,-6.599772,-47.642551,0
1713957,-7.1288498,-48.604404,0
1714203,-11.798493,-47.648959,0
1714302,-6.3303926,-47.781088,0
1714880,-7.6627093,-48.33448,0
1715002,-10.549605,-48.974569,0
1715101,-10.155582,-47.383159,0
1715150,-12.914225,-46.559866,0
1715259,-11.771222,-46.550335,0
1715507,-10.67409,-48.877091,0
1715705,-7.8863729,-48.155905,0
1715754,-13.019541,-48.348843,0
1716109,-10.221095,-48.826202,0
1716208,-12.695705,-47.812162,0
1716307,-7.6194248,-48.581115,0
1716505,-9.2273169,-48.034185,0
1716604,-11.996696,-48.555247,0
1716653,-8.6140235,-48.989453,0
1716703,-8.7441578,-48.847619,0
1717008,-11.159955,-47.559191,0
1717206,-6.801961,-48.314021,0
1717503,-10.210285,-49.872651,0
1717800,-12.052399,-46.579243,0
1717909,-10.751919,-47.327894,0
1718006,-11.511716,-47.04677,0
1718204,-10.544352,-48.496692,0
1718303,-5.4724601,-47.783563,0
1718402,-8.4690091,-48.407054,0
1718451,-10.422593,-48.883318,0
1718501,-8.6972665,-47.113068,0
1718550,-6.4435109,-47.988446,0
1718659,-11.34071,-46.748246,0
1718709,-9.2361233,-48.451998,0
1718758,-9.6478071,-47.496249,0
1718808,-5.3339383,-47.917982,0
1718840,-12.402101,-49.876174,0
1718881,-8.824439,-47.848297,0
1718899,-10.971006,-49.295645,0
1718907,-11.398407,-48.10843,0
1719004,-10.299363,-47.741807,0
1720002,-6.4721842,-47.750332,0
1720101,-5.968097,-47.919959,0
1720150,-10.068905,-46.678425,0
1720200,-5.54259,-47.595364,0
1720259,-12.577958,-48.365167,0
1720499,-11.804202,-48.170553,0
1720655,-11.132116,-48.007509,0
1720804,-5.6298958,-47.686444,0
1720853,-12.113452,-48.834937,0
1720903,-12.387065,-46.55579,0
1720937,-12.140049,-46.994629,0
1720978,-12.682968,-49.048335,0
1721000,-10.218484,-48.153757,0
1721109,-9.6030807,-48.140379,0
1721208,-6.2571512,-47.537584,0
1721257,-8.9382995,-48.259403,0
1721307,-8.3568052,-48.210896,0
1722081,-6.929528,-47.93684,0
1722107,-6.8227016,-48.37642,0
2100105,-4.2147901,-43.29743,0
2100154,-2.9469734,-42.166358,0
2100303,-4.5027456,-43.383464,0
2100436,-4.2093325,-44.393545,0
2100501,-9.5084055,-46.213151,0
2100600,-5.5536416,-46.668437,0
2100808,-3.5438749,-43.107941,0
2100907,-2.9757896,-42.040433,0
2100956,-4.9595111,-45.604148,0
2101004,-3.6782263,-44.630953,0
2101202,-4.1916011,-44.616322,0
2101400,-8.2376214,-46.34273,0
2101509,-6.5447437,-43.136506,0
2101608,-5.5042925,-45.183333,0
2101707,-2.8412767,-42.911335,0
2101731,-3.101334,-43.462332,0
2101806,-7.1203319,-44.568278,0
2101939,-4.6795602,-44.688251,0
2102101,-3.6866181,-42.82868,0
2102150,-4.4722368,-45.611487,0
2102200,-3.8918383,-43.03661,0
2102309,-5.7891681,-43.830508,0
2102358,-5.5233705,-47.060679,0
2102374,-3.1280153,-43.897442,0
2102556,-6.1761257,-47.263986,0
2102705,-3.6216116,-44.26269,0
2102754,-4.6821685,-44.306207,0
2102804,-7.3732589,-47.202721,0
2103000,-4.8666853,-43.299588,0
2103208,-3.8487561,-43.453841,0
2103257,-5.3113527,-47.858433,0
2103307,-4.6072416,-43.885988,0
2103406,-4.248054,-43.112166,0
2103505,-6.0556598,-44.181618,0
2103554,-3.8409999,-44.612161,0
2103604,-4.102201,-44.145312,0
2103752,-5.5984746,-47.299858,0
2103802,-5.0212807,-44.397097,0
2103901,-4.0992914,-43.009813,0
2104008,-4.8990998,-44.890568,0
2104057,-6.7824949,-47.201269,0
2104073,-6.9975255,-46.624734,0
2104081,-6.1737991,-45.306178,0
2104099,-6.5142054,-46.186257,0
2104107,-6.9418555,-46.081928,0
2104206,-5.6683779,-44.029562,0
2104404,-5.1522553,-44.172001,0
2104503,-4.9994977,-44.221502,0
2104552,-5.7184851,-47.324764,0
2104602,-5.3852511,-44.06724,0
2104628,-5.5371715,-44.093309,0
2104701,-5.4148024,-44.31812,0
2104800,-5.883331,-45.999702,0
