geocode,year,regrowth_ha,agr_pers,veg_pers,nr_agr,nr_veg,population,lpw,temp,precip,ph,clay,embargos_def,roads_km,silos_ton,lat,long,ID,fnp,UF,drop_4balance
1700251,2001,1009,12418,173783,0.0752,0.0058,2218,517.05,26.4,1969.63,50.67,26.26,0,0,0,-9.4804141,-49.309888,20011700251,77,17,0
1700251,2002,989,13427,172622,0.0686,0.0057,2247,711.25,26.95,1674.81,50.67,26.26,0,0,0,-9.4804141,-49.309888,20021700251,77,17,0
1700251,2003,1355,14165,171759,0.0873,0.0078,2273,736.5,26.97,1691.1,50.67,26.26,0,0,0,-9.4804141,-49.309888,20031700251,77,17,0
1700251,2004,1607,14372,170654,0.1006,0.0093,2311,1154.5,26.85,1945.79,50.67,26.26,0,0,0,-9.4804141,-49.309888,20041700251,77,17,0
1700251,2005,1183,15645,169197,0.0703,0.0069,2361,1245.57,27.04,1943.61,50.67,26.26,0,0,0,-9.4804141,-49.309888,20051700251,77,17,0
1700251,2006,851,17731,167473,0.0458,0.0051,2392,1206.11,26.63,2233.66,50.67,26.26,0,0,0,-9.4804141,-49.309888,20061700251,77,17,0
1700251,2007,762,20007,165107,0.0367,0.0046,2351,1270.89,27.06,1591.91,50.67,26.26,1,0,0,-9.4804141,-49.309888,20071700251,77,17,0
1700251,2008,1285,21897,163949,0.0554,0.0078,2310,1351.48,26.86,1730.49,50.67,26.26,1,0,0,-9.4804141,-49.309888,20081700251,77,17,0
1700251,2009,1336,22491,162272,0.0561,0.0082,2321,1579.33,26.7,2252.02,50.67,26.26,0,0,0,-9.4804141,-49.309888,20091700251,77,17,0
1700251,2010,1522,23934,161515,0.0598,0.0093,2364,2468.26,27.66,1880.89,50.67,26.26,0,0,0,-9.4804141,-49.309888,20101700251,77,17,0
1700251,2011,1822,24227,160973,0.0699,0.0112,2407,2686.69,27.02,2188.89,50.67,26.26,0,0,0,-9.4804141,-49.309888,20111700251,77,17,0
1700251,2012,1830,24404,159896,0.0698,0.0113,2422,2860.54,26.8,2022.59,50.67,26.26,0,0,0,-9.4804141,-49.309888,20121700251,77,17,0
1700251,2013,1320,26036,157878,0.0483,0.0083,2506,3074.37,27.27,1934.63,50.67,26.26,0,0,0,-9.4804141,-49.309888,20131700251,77,17,0
1700251,2014,1244,28641,155696,0.0416,0.0079,2523,3020.35,26.84,2184.36,50.67,26.26,0,0,0,-9.4804141,-49.309888,20141700251,77,17,0
1700251,2015,1035,31123,152991,0.0322,0.0067,2539,4382.73,27.39,1831.87,50.67,26.26,0,0,0,-9.4804141,-49.309888,20151700251,77,17,0
1700251,2016,1279,33493,149758,0.0368,0.0085,2555,4592.29,28.05,1745.12,50.67,26.26,0,0,0,-9.4804141,-49.309888,20161700251,77,17,0
1700301,2001,208,5746,15982,0.0350,0.0129,3230,846.56,26.75,1497.54,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20011700301,78,17,0
1700301,2002,211,6349,15474,0.0322,0.0135,3289,1026.73,26.8,1412.63,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20021700301,78,17,0
1700301,2003,321,6733,15170,0.0454,0.0207,3355,1182.25,26.96,1401.38,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20031700301,78,17,0
1700301,2004,361,6866,14841,0.0500,0.0238,3449,1266.5,26.84,1641.44,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20041700301,78,17,0
1700301,2005,395,7114,14514,0.0526,0.0265,3573,1184.75,27.23,1497.26,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20051700301,78,17,0
1700301,2006,342,7459,14268,0.0438,0.0234,3650,1149.5,26.78,1855.69,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20061700301,78,17,0
1700301,2007,476,7626,14274,0.0588,0.0323,3885,1118.25,27.04,1232.42,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20071700301,78,17,0
1700301,2008,476,7478,14351,0.0599,0.0321,4120,1196.12,26.96,1755.74,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20081700301,78,17,0
1700301,2009,595,7269,14495,0.0757,0.0394,4216,1239.78,26.77,1688.88,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20091700301,78,17,0
1700301,2010,416,7175,14651,0.0549,0.0276,4767,1227.3,27.58,1225.76,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20101700301,78,17,0
1700301,2011,395,7202,14590,0.0520,0.0264,5317,1537.85,26.99,1560.27,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20111700301,78,17,0
1700301,2012,442,7223,14469,0.0576,0.0296,5467,2027.82,27.02,1161.8,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20121700301,78,17,0
1700301,2013,471,7273,14479,0.0608,0.0315,5820,3162.6,27.06,1440.45,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20131700301,78,17,0
1700301,2014,303,7418,14321,0.0392,0.0207,5987,3629.19,26.96,1503.6,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20141700301,78,17,0
1700301,2015,327,7714,14058,0.0407,0.0227,6149,3841.7,27.51,1222.46,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20151700301,78,17,0
1700301,2016,427,7852,13738,0.0515,0.0301,6307,3886.71,28,1172.88,51.27,29.43,0,26.803,0,-6.4876523,-47.513386,20161700301,78,17,0
1700350,2001,2284,56659,96547,0.0388,0.0231,6227,424.22,26.51,1671.2,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20011700350,76,17,0
1700350,2002,857,57710,95639,0.0146,0.0089,6266,446.4,26.97,1425.74,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20021700350,76,17,0
1700350,2003,663,60266,91720,0.0109,0.0072,6308,487.71,26.9,1544.29,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20031700350,76,17,0
1700350,2004,847,64048,88227,0.0131,0.0095,6366,895.05,26.78,1762.5,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20041700350,76,17,0
1700350,2005,1115,67224,86784,0.0163,0.0127,6443,1005.39,27,1587.43,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20051700350,76,17,0
1700350,2006,2095,67385,86272,0.0301,0.0237,6491,983.09,26.52,1888.1,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20061700350,76,17,0
1700350,2007,2441,66565,87043,0.0354,0.0273,6176,931.42,27.12,1324.3,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20071700350,76,17,0
1700350,2008,2129,65753,88190,0.0314,0.0236,5860,923.9,26.87,1410.34,52.54,24.5,1,27.201,0,-11.332169,-48.908194,20081700350,76,17,0
1700350,2009,1683,65328,88585,0.0251,0.0186,5822,1022.63,26.58,2166.46,52.54,24.5,0,27.201,0,-11.332169,-48.908194,20091700350,76,17,0
1700350,2010,1218,65822,87714,0.0182,0.0137,5728,1549.38,27.6,1298.96,52.54,24.5,1,27.201,0,-11.332169,-48.908194,20101700350,76,17,0
