geocode,regrowth_2001_2016,agr_pers,veg_pers,nreg_agr,nreg_veg,population2016,pop_g,lpw2016,lpw_g,Std_temp,precip,clay,ph,embargos_def,roads_km,silos_ton,lat,long,FNP,UF
1700251,20428.16,9971.2200,146636.4300,0.3077,0.0293,2555,0.00956,2053.619375,0.172246667,0.404284862,1926.335625,26.26,50.67,2,0,0,-9.4804141,-49.309888,77,17
1700301,6166.58,4892.9100,12498.6300,0.2511,0.1160,6307,0.039738462,1845.225625,0.117273333,0.345605146,1454.3875,29.43,51.27,0,26.803,0,-6.4876523,-47.513386,78,17
1700350,26609.51,49947.7000,75566.7900,0.1438,0.0999,6491,-0.003184615,1910.938125,0.196733333,0.438204195,1611.553125,24.5,52.54,2,27.201,0,-11.332169,-48.908194,76,17
1700400,57066.52,47531.5500,303766.9700,0.1830,0.0339,9082,-0.004569231,1992.1875,0.19816,0.463015029,1496.849375,29.14,55.48,5,0,16320,-11.430057,-47.21041,76,17
1700707,13420.12,65576.3000,38502.1200,0.0714,0.1157,8557,-2.31E-05,2369.1025,0.214146667,0.474997807,1526.510625,23.92,52.67,2,43.625,130932,-12.408493,-49.112914,76,17
1701002,30126.6,74760.7400,54423.9600,0.1375,0.1797,12156,0.002023077,1839.381875,0.116886667,0.318765849,1719.071875,27.33,48.89,3,0,0,-6.2555316,-48.023998,78,17
1701051,9317.31,7292.2900,28870.9600,0.2681,0.0847,3401,0.009461538,1840.51625,0.116953333,0.33656104,1730.873125,29.68,50.42,1,0,0,-6.4204684,-47.901257,78,17
1701101,20433.15,18961.9800,71176.4600,0.1611,0.0487,4672,0.016530769,2933.095625,0.219206667,0.447060305,1677.065,27.18,51.97,1,55.879,3375,-9.9878923,-48.000685,77,17
1701309,22866.75,68855.0500,21636.2900,0.1006,0.2624,8614,0.0097,1839.8425,0.116926667,0.323437269,1773.4325,29.27,51.69,2,0,0,-7.1020524,-48.519112,78,17
1701903,16662.6,13374.9100,232302.3200,0.2012,0.0143,6934,0.016415385,2088.3275,0.175073333,0.388123692,1935.483125,27.91,50.06,1,45.431,3595,-8.9400565,-49.504683,77,17
1702000,72449.96,227901.5800,191236.2400,0.0934,0.1094,9276,-0.003707692,1912.3425,0.196846667,0.46276659,1484.07625,24.05,52.82,7,0,0,-12.841147,-49.696348,76,17
1702109,56920.03,192733.8400,143785.8100,0.1098,0.1419,173112,0.0264,1846.861875,0.11766,0.339381177,1743.69,26.92,51.89,3,0,11701,-7.3379216,-48.302183,78,17
1702158,10452.78,60557.5100,12916.7400,0.0694,0.2591,5691,0.023076923,1842.931875,0.116933333,0.319603922,1725.760625,27.97,50.55,2,0,0,-6.9196243,-48.403334,78,17
1702208,63163.26,76232.1000,118738.9000,0.1587,0.1080,34810,0.019376923,1839.05125,0.116873333,0.310408333,1579.95125,27.41,49.12,6,24.574,0,-5.740486,-48.001225,78,17
1702406,76464.64,146696.1400,337085.0000,0.0655,0.0296,10977,0.001023077,1956.571875,0.196206667,0.490122434,1251.460625,31.04,55.53,3,36.829,0,-12.81866,-47.04786,76,17
1702554,5490.28,24484.0200,6555.3100,0.0462,0.1531,17861,0.020946154,1839.05125,0.116873333,0.331458896,1440.16125,27.61,49.08,1,0,0,-5.4981796,-47.929068,78,17
1702703,10161.79,21951.0600,40594.6600,0.0858,0.0483,3709,0.008561538,2159.05625,0.199173333,0.483763027,1195.425,33.79,57.14,1,0,0,-12.642368,-46.418694,76,17
1702901,3290.92,7698.8100,3435.4300,0.1101,0.2170,9741,0.003515385,1839.05125,0.116873333,0.340075972,1365.665,26.79,49.04,0,0,0,-5.6456446,-47.766383,78,17
1703008,24144.93,17167.3700,121187.6000,0.1616,0.0266,11257,0.0051,1874.934375,0.118513333,0.333506622,1703.691875,28.26,52.06,3,0,0,-7.1748585,-47.855767,78,17
1703057,19781.5,123035.1800,17129.0800,0.0738,0.3641,3460,0.0152,1840.80375,0.116986667,0.339283559,1812.224375,26.56,51.26,3,0,0,-7.7777228,-48.601423,78,17
1703073,10706.88,3119.8300,81825.3300,0.2640,0.0135,4503,0.013761538,2063.36125,0.13022,0.359554701,1522.64375,25.99,51.27,0,26.25,6380,-7.7173953,-47.578546,78,17
1703107,14651.34,26132.8700,29300.5500,0.1734,0.1576,5622,0.003269231,2071.63375,0.171426667,0.413545141,1869.5075,26.68,53.18,4,29.662,0,-9.8689816,-48.791669,77,17
1703305,11255.47,7498.1700,104225.9500,0.1536,0.0129,4590,0.035469231,1847.496875,0.160973333,0.408621667,1690.318125,25.85,51.24,1,66.814,1200,-9.012759,-47.879216,120,17
1703602,7926.81,16480.3600,37088.4900,0.1080,0.0510,2208,0.009807692,1936.17875,0.120026667,0.360682224,1713.179375,26.81,52.84,0,23.099,0,-8.2865474,-48.420252,78,17
1703701,31342.43,47539.3100,83423.1300,0.2278,0.1439,5506,0.004030769,2356.51375,0.194766667,0.436046156,1722.334375,26.02,54.25,1,0,3480,-11.029413,-48.625075,77,17
1703800,5732.99,15320.9300,3903.3100,0.0825,0.2609,10988,0.018307692,1839.05125,0.116873333,0.312257906,1535.586875,28.17,47.39,0,0,0,-5.3387335,-48.104384,78,17
